scenario_id,condition,generated_at,is_valid,invalid_reason,compliance_mL_per_cmH2O,resistance_cmH2O_L_s,respiratory_rate,tidal_volume_mL,tidal_volume_mL_per_kg,ie_ratio,peep_cmH2O,flow_pattern,ppeak_cmH2O,pplat_cmH2O,driving_p_cmH2O,mean_paw_cmH2O,auto_peep_cmH2O,delivered_vt_mL,minute_vent_L
VCV_Normal_C050_R002_VT04_RR016_PEEP00_IE033_SQR,Normal,2026-05-07T05:39:43.655380+00:00,True,,50.0,2.0,16,280.0,4.0,0.33,0,square,6.2,5.6,5.6,1.2,0.0,276.85,4.43
VCV_Normal_C050_R002_VT04_RR016_PEEP00_IE033_DEC,Normal,2026-05-07T05:39:43.655803+00:00,True,,50.0,2.0,16,280.0,4.0,0.33,0,decelerating,5.73,5.66,5.66,1.43,0.0,276.85,4.43
VCV_Normal_C050_R002_VT04_RR016_PEEP08_IE100_SQR,Normal,2026-05-07T05:39:43.656227+00:00,True,,50.0,2.0,16,280.0,4.0,1.0,8,square,13.91,13.61,5.61,9.86,0.0,279.25,4.468
VCV_Normal_C050_R002_VT04_RR016_PEEP08_IE100_DEC,Normal,2026-05-07T05:39:43.656663+00:00,True,,50.0,2.0,16,280.0,4.0,1.0,8,decelerating,13.66,13.64,5.64,10.3,0.0,279.25,4.468
VCV_Normal_C050_R002_VT04_RR016_PEEP08_IE050_SQR,Normal,2026-05-07T05:39:43.657087+00:00,True,,50.0,2.0,16,280.0,4.0,0.5,8,square,14.05,13.6,5.6,9.42,0.0,277.76,4.444
VCV_Normal_C050_R002_VT04_RR016_PEEP08_IE050_DEC,Normal,2026-05-07T05:39:43.657513+00:00,True,,50.0,2.0,16,280.0,4.0,0.5,8,decelerating,13.68,13.64,5.64,9.72,0.0,277.76,4.444
VCV_Normal_C050_R002_VT04_RR016_PEEP08_IE033_SQR,Normal,2026-05-07T05:39:43.657925+00:00,True,,50.0,2.0,16,280.0,4.0,0.33,8,square,14.2,13.6,5.6,9.2,0.0,276.85,4.43
VCV_Normal_C050_R002_VT04_RR016_PEEP08_IE033_DEC,Normal,2026-05-07T05:39:43.658340+00:00,True,,50.0,2.0,16,280.0,4.0,0.33,8,decelerating,13.73,13.66,5.66,9.43,0.0,276.85,4.43
VCV_Normal_C050_R002_VT04_RR016_PEEP16_IE100_SQR,Normal,2026-05-07T05:39:43.658754+00:00,True,,50.0,2.0,16,280.0,4.0,1.0,16,square,21.91,21.61,5.61,17.86,0.0,279.25,4.468
VCV_Normal_C050_R002_VT04_RR016_PEEP16_IE100_DEC,Normal,2026-05-07T05:39:43.659165+00:00,True,,50.0,2.0,16,280.0,4.0,1.0,16,decelerating,21.66,21.64,5.64,18.3,0.0,279.25,4.468
VCV_Normal_C050_R002_VT04_RR016_PEEP16_IE050_SQR,Normal,2026-05-07T05:39:43.659576+00:00,True,,50.0,2.0,16,280.0,4.0,0.5,16,square,22.05,21.6,5.6,17.42,0.0,277.76,4.444
VCV_Normal_C050_R002_VT04_RR016_PEEP16_IE050_DEC,Normal,2026-05-07T05:39:43.659995+00:00,True,,50.0,2.0,16,280.0,4.0,0.5,16,decelerating,21.68,21.64,5.64,17.72,0.0,277.76,4.444
VCV_Normal_C050_R002_VT04_RR016_PEEP16_IE033_SQR,Normal,2026-05-07T05:39:43.660406+00:00,True,,50.0,2.0,16,280.0,4.0,0.33,16,square,22.2,21.6,5.6,17.2,0.0,276.85,4.43
VCV_Normal_C050_R002_VT04_RR016_PEEP16_IE033_DEC,Normal,2026-05-07T05:39:43.660816+00:00,True,,50.0,2.0,16,280.0,4.0,0.33,16,decelerating,21.73,21.66,5.66,17.43,0.0,276.85,4.43
VCV_Normal_C050_R002_VT04_RR016_PEEP20_IE100_SQR,Normal,2026-05-07T05:39:43.661232+00:00,True,,50.0,2.0,16,280.0,4.0,1.0,20,square,25.91,25.61,5.61,21.86,0.0,279.25,4.468
VCV_Normal_C050_R002_VT04_RR016_PEEP20_IE100_DEC,Normal,2026-05-07T05:39:43.661665+00:00,True,,50.0,2.0,16,280.0,4.0,1.0,20,decelerating,25.66,25.64,5.64,22.3,0.0,279.25,4.468
VCV_Normal_C050_R002_VT04_RR016_PEEP20_IE050_SQR,Normal,2026-05-07T05:39:43.662108+00:00,True,,50.0,2.0,16,280.0,4.0,0.5,20,square,26.05,25.6,5.6,21.42,0.0,277.76,4.444
VCV_Normal_C050_R002_VT04_RR016_PEEP20_IE050_DEC,Normal,2026-05-07T05:39:43.662547+00:00,True,,50.0,2.0,16,280.0,4.0,0.5,20,decelerating,25.68,25.64,5.64,21.72,0.0,277.76,4.444
VCV_Normal_C050_R002_VT04_RR016_PEEP20_IE033_SQR,Normal,2026-05-07T05:39:43.662977+00:00,True,,50.0,2.0,16,280.0,4.0,0.33,20,square,26.2,25.6,5.6,21.2,0.0,276.85,4.43
VCV_Normal_C050_R002_VT04_RR016_PEEP20_IE033_DEC,Normal,2026-05-07T05:39:43.663386+00:00,True,,50.0,2.0,16,280.0,4.0,0.33,20,decelerating,25.73,25.66,5.66,21.43,0.0,276.85,4.43
VCV_Normal_C050_R002_VT04_RR024_PEEP00_IE100_SQR,Normal,2026-05-07T05:39:43.663801+00:00,True,,50.0,2.0,24,280.0,4.0,1.0,0,square,6.05,5.6,5.6,2.06,0.0,277.76,6.666
VCV_Normal_C050_R002_VT04_RR024_PEEP00_IE100_DEC,Normal,2026-05-07T05:39:43.664190+00:00,True,,50.0,2.0,24,280.0,4.0,1.0,0,decelerating,5.68,5.64,5.64,2.49,0.0,277.76,6.666
VCV_Normal_C050_R002_VT04_RR024_PEEP00_IE050_SQR,Normal,2026-05-07T05:39:43.664650+00:00,True,,50.0,2.0,24,280.0,4.0,0.5,0,square,6.25,5.58,5.58,1.63,0.0,275.52,6.612
VCV_Normal_C050_R002_VT04_RR024_PEEP00_IE050_DEC,Normal,2026-05-07T05:39:43.665067+00:00,True,,50.0,2.0,24,280.0,4.0,0.5,0,decelerating,5.73,5.64,5.64,1.93,0.0,275.52,6.612
VCV_Normal_C050_R002_VT04_RR024_PEEP00_IE033_SQR,Normal,2026-05-07T05:39:43.665493+00:00,True,,50.0,2.0,24,280.0,4.0,0.33,0,square,6.5,5.6,5.6,1.43,0.0,275.35,6.608
VCV_Normal_C050_R002_VT04_RR024_PEEP00_IE033_DEC,Normal,2026-05-07T05:39:43.665902+00:00,True,,50.0,2.0,24,280.0,4.0,0.33,0,decelerating,5.85,5.69,5.69,1.66,0.0,275.35,6.608
VCV_Normal_C050_R002_VT04_RR024_PEEP08_IE100_SQR,Normal,2026-05-07T05:39:43.666320+00:00,True,,50.0,2.0,24,280.0,4.0,1.0,8,square,14.05,13.6,5.6,10.06,0.0,277.76,6.666
VCV_Normal_C050_R002_VT04_RR024_PEEP08_IE100_DEC,Normal,2026-05-07T05:39:43.666730+00:00,True,,50.0,2.0,24,280.0,4.0,1.0,8,decelerating,13.68,13.64,5.64,10.49,0.0,277.76,6.666
VCV_Normal_C050_R002_VT04_RR024_PEEP08_IE050_SQR,Normal,2026-05-07T05:39:43.667150+00:00,True,,50.0,2.0,24,280.0,4.0,0.5,8,square,14.25,13.58,5.58,9.63,0.0,275.52,6.612
VCV_Normal_C050_R002_VT04_RR024_PEEP08_IE050_DEC,Normal,2026-05-07T05:39:43.667560+00:00,True,,50.0,2.0,24,280.0,4.0,0.5,8,decelerating,13.73,13.64,5.64,9.93,0.0,275.52,6.612
VCV_Normal_C050_R002_VT04_RR024_PEEP08_IE033_SQR,Normal,2026-05-07T05:39:43.667957+00:00,True,,50.0,2.0,24,280.0,4.0,0.33,8,square,14.5,13.6,5.6,9.43,0.0,275.35,6.608
VCV_Normal_C050_R002_VT04_RR024_PEEP08_IE033_DEC,Normal,2026-05-07T05:39:43.668362+00:00,True,,50.0,2.0,24,280.0,4.0,0.33,8,decelerating,13.85,13.69,5.69,9.66,0.0,275.35,6.608
VCV_Normal_C050_R002_VT04_RR024_PEEP16_IE100_SQR,Normal,2026-05-07T05:39:43.668751+00:00,True,,50.0,2.0,24,280.0,4.0,1.0,16,square,22.05,21.6,5.6,18.06,0.0,277.76,6.666
VCV_Normal_C050_R002_VT04_RR024_PEEP16_IE100_DEC,Normal,2026-05-07T05:39:43.669164+00:00,True,,50.0,2.0,24,280.0,4.0,1.0,16,decelerating,21.68,21.64,5.64,18.49,0.0,277.76,6.666
VCV_Normal_C050_R002_VT04_RR024_PEEP16_IE050_SQR,Normal,2026-05-07T05:39:43.669587+00:00,True,,50.0,2.0,24,280.0,4.0,0.5,16,square,22.25,21.58,5.58,17.63,0.0,275.52,6.612
VCV_Normal_C050_R002_VT04_RR024_PEEP16_IE050_DEC,Normal,2026-05-07T05:39:43.670010+00:00,True,,50.0,2.0,24,280.0,4.0,0.5,16,decelerating,21.73,21.64,5.64,17.93,0.0,275.52,6.612
VCV_Normal_C050_R002_VT04_RR024_PEEP16_IE033_SQR,Normal,2026-05-07T05:39:43.670415+00:00,True,,50.0,2.0,24,280.0,4.0,0.33,16,square,22.5,21.6,5.6,17.43,0.0,275.35,6.608
VCV_Normal_C050_R002_VT04_RR024_PEEP16_IE033_DEC,Normal,2026-05-07T05:39:43.670833+00:00,True,,50.0,2.0,24,280.0,4.0,0.33,16,decelerating,21.85,21.69,5.69,17.66,0.0,275.35,6.608
VCV_Normal_C050_R002_VT04_RR024_PEEP20_IE100_SQR,Normal,2026-05-07T05:39:43.671246+00:00,True,,50.0,2.0,24,280.0,4.0,1.0,20,square,26.05,25.6,5.6,22.06,0.0,277.76,6.666
VCV_Normal_C050_R002_VT04_RR024_PEEP20_IE100_DEC,Normal,2026-05-07T05:39:43.671648+00:00,True,,50.0,2.0,24,280.0,4.0,1.0,20,decelerating,25.68,25.64,5.64,22.49,0.0,277.76,6.666
VCV_Normal_C050_R002_VT04_RR024_PEEP20_IE050_SQR,Normal,2026-05-07T05:39:43.672046+00:00,True,,50.0,2.0,24,280.0,4.0,0.5,20,square,26.25,25.58,5.58,21.63,0.0,275.52,6.612
VCV_Normal_C050_R002_VT04_RR024_PEEP20_IE050_DEC,Normal,2026-05-07T05:39:43.672444+00:00,True,,50.0,2.0,24,280.0,4.0,0.5,20,decelerating,25.73,25.64,5.64,21.93,0.0,275.52,6.612
VCV_Normal_C050_R002_VT04_RR024_PEEP20_IE033_SQR,Normal,2026-05-07T05:39:43.672865+00:00,True,,50.0,2.0,24,280.0,4.0,0.33,20,square,26.5,25.6,5.6,21.43,0.0,275.35,6.608
VCV_Normal_C050_R002_VT04_RR024_PEEP20_IE033_DEC,Normal,2026-05-07T05:39:43.673262+00:00,True,,50.0,2.0,24,280.0,4.0,0.33,20,decelerating,25.85,25.69,5.69,21.66,0.0,275.35,6.608
VCV_Normal_C050_R002_VT04_RR030_PEEP00_IE100_SQR,Normal,2026-05-07T05:39:43.673657+00:00,True,,50.0,2.0,30,280.0,4.0,1.0,0,square,6.16,5.6,5.6,2.2,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP00_IE100_DEC,Normal,2026-05-07T05:39:43.674038+00:00,True,,50.0,2.0,30,280.0,4.0,1.0,0,decelerating,5.72,5.66,5.66,2.63,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP00_IE050_SQR,Normal,2026-05-07T05:39:43.674449+00:00,True,,50.0,2.0,30,280.0,4.0,0.5,0,square,6.47,5.63,5.63,1.81,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP00_IE050_DEC,Normal,2026-05-07T05:39:43.674839+00:00,True,,50.0,2.0,30,280.0,4.0,0.5,0,decelerating,5.85,5.71,5.71,2.11,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP00_IE033_SQR,Normal,2026-05-07T05:39:43.675229+00:00,True,,50.0,2.0,30,280.0,4.0,0.33,0,square,6.77,5.64,5.64,1.61,0.0,276.48,8.294
VCV_Normal_C050_R002_VT04_RR030_PEEP00_IE033_DEC,Normal,2026-05-07T05:39:43.675620+00:00,True,,50.0,2.0,30,280.0,4.0,0.33,0,decelerating,6.0,5.76,5.76,1.84,0.0,276.48,8.294
VCV_Normal_C050_R002_VT04_RR030_PEEP08_IE100_SQR,Normal,2026-05-07T05:39:43.676002+00:00,True,,50.0,2.0,30,280.0,4.0,1.0,8,square,14.16,13.6,5.6,10.2,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP08_IE100_DEC,Normal,2026-05-07T05:39:43.676382+00:00,True,,50.0,2.0,30,280.0,4.0,1.0,8,decelerating,13.72,13.66,5.66,10.63,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP08_IE050_SQR,Normal,2026-05-07T05:39:43.676771+00:00,True,,50.0,2.0,30,280.0,4.0,0.5,8,square,14.47,13.63,5.63,9.81,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP08_IE050_DEC,Normal,2026-05-07T05:39:43.677159+00:00,True,,50.0,2.0,30,280.0,4.0,0.5,8,decelerating,13.85,13.71,5.71,10.11,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP08_IE033_SQR,Normal,2026-05-07T05:39:43.677547+00:00,True,,50.0,2.0,30,280.0,4.0,0.33,8,square,14.77,13.64,5.64,9.61,0.0,276.48,8.294
VCV_Normal_C050_R002_VT04_RR030_PEEP08_IE033_DEC,Normal,2026-05-07T05:39:43.677934+00:00,True,,50.0,2.0,30,280.0,4.0,0.33,8,decelerating,14.0,13.76,5.76,9.84,0.0,276.48,8.294
VCV_Normal_C050_R002_VT04_RR030_PEEP16_IE100_SQR,Normal,2026-05-07T05:39:43.678313+00:00,True,,50.0,2.0,30,280.0,4.0,1.0,16,square,22.16,21.6,5.6,18.2,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP16_IE100_DEC,Normal,2026-05-07T05:39:43.678692+00:00,True,,50.0,2.0,30,280.0,4.0,1.0,16,decelerating,21.72,21.66,5.66,18.63,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP16_IE050_SQR,Normal,2026-05-07T05:39:43.679079+00:00,True,,50.0,2.0,30,280.0,4.0,0.5,16,square,22.47,21.63,5.63,17.81,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP16_IE050_DEC,Normal,2026-05-07T05:39:43.679471+00:00,True,,50.0,2.0,30,280.0,4.0,0.5,16,decelerating,21.85,21.71,5.71,18.11,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP16_IE033_SQR,Normal,2026-05-07T05:39:43.679859+00:00,True,,50.0,2.0,30,280.0,4.0,0.33,16,square,22.77,21.64,5.64,17.61,0.0,276.48,8.294
VCV_Normal_C050_R002_VT04_RR030_PEEP16_IE033_DEC,Normal,2026-05-07T05:39:43.680247+00:00,True,,50.0,2.0,30,280.0,4.0,0.33,16,decelerating,22.0,21.76,5.76,17.84,0.0,276.48,8.294
VCV_Normal_C050_R002_VT04_RR030_PEEP20_IE100_SQR,Normal,2026-05-07T05:39:43.680627+00:00,True,,50.0,2.0,30,280.0,4.0,1.0,20,square,26.16,25.6,5.6,22.2,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP20_IE100_DEC,Normal,2026-05-07T05:39:43.681005+00:00,True,,50.0,2.0,30,280.0,4.0,1.0,20,decelerating,25.72,25.66,5.66,22.63,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP20_IE050_SQR,Normal,2026-05-07T05:39:43.681393+00:00,True,,50.0,2.0,30,280.0,4.0,0.5,20,square,26.47,25.63,5.63,21.81,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP20_IE050_DEC,Normal,2026-05-07T05:39:43.681781+00:00,True,,50.0,2.0,30,280.0,4.0,0.5,20,decelerating,25.85,25.71,5.71,22.11,0.0,277.2,8.316
VCV_Normal_C050_R002_VT04_RR030_PEEP20_IE033_SQR,Normal,2026-05-07T05:39:43.682173+00:00,True,,50.0,2.0,30,280.0,4.0,0.33,20,square,26.77,25.64,5.64,21.61,0.0,276.48,8.294
VCV_Normal_C050_R002_VT04_RR030_PEEP20_IE033_DEC,Normal,2026-05-07T05:39:43.682561+00:00,True,,50.0,2.0,30,280.0,4.0,0.33,20,decelerating,26.0,25.76,5.76,21.84,0.0,276.48,8.294
VCV_Normal_C050_R002_VT06_RR008_PEEP00_IE100_SQR,Normal,2026-05-07T05:39:43.683019+00:00,True,,50.0,2.0,8,420.0,6.0,1.0,0,square,8.62,8.4,8.4,2.46,0.0,418.88,3.351
VCV_Normal_C050_R002_VT06_RR008_PEEP00_IE100_DEC,Normal,2026-05-07T05:39:43.683487+00:00,True,,50.0,2.0,8,420.0,6.0,1.0,0,decelerating,8.43,8.42,8.42,3.14,0.0,418.88,3.351
VCV_Normal_C050_R002_VT06_RR008_PEEP00_IE050_SQR,Normal,2026-05-07T05:39:43.683950+00:00,True,,50.0,2.0,8,420.0,6.0,0.5,0,square,8.74,8.4,8.4,1.78,0.0,418.32,3.347
VCV_Normal_C050_R002_VT06_RR008_PEEP00_IE050_DEC,Normal,2026-05-07T05:39:43.684414+00:00,True,,50.0,2.0,8,420.0,6.0,0.5,0,decelerating,8.45,8.43,8.43,2.24,0.0,418.32,3.347
VCV_Normal_C050_R002_VT06_RR008_PEEP00_IE033_SQR,Normal,2026-05-07T05:39:43.684895+00:00,True,,50.0,2.0,8,420.0,6.0,0.33,0,square,8.85,8.4,8.4,1.44,0.0,417.54,3.34
VCV_Normal_C050_R002_VT06_RR008_PEEP00_IE033_DEC,Normal,2026-05-07T05:39:43.685371+00:00,True,,50.0,2.0,8,420.0,6.0,0.33,0,decelerating,8.47,8.44,8.44,1.78,0.0,417.54,3.34
VCV_Normal_C050_R002_VT06_RR008_PEEP08_IE100_SQR,Normal,2026-05-07T05:39:43.685825+00:00,True,,50.0,2.0,8,420.0,6.0,1.0,8,square,16.62,16.4,8.4,10.46,0.0,418.88,3.351
VCV_Normal_C050_R002_VT06_RR008_PEEP08_IE100_DEC,Normal,2026-05-07T05:39:43.686276+00:00,True,,50.0,2.0,8,420.0,6.0,1.0,8,decelerating,16.43,16.42,8.42,11.14,0.0,418.88,3.351
VCV_Normal_C050_R002_VT06_RR008_PEEP08_IE050_SQR,Normal,2026-05-07T05:39:43.686743+00:00,True,,50.0,2.0,8,420.0,6.0,0.5,8,square,16.74,16.4,8.4,9.78,0.0,418.32,3.347
VCV_Normal_C050_R002_VT06_RR008_PEEP08_IE050_DEC,Normal,2026-05-07T05:39:43.687202+00:00,True,,50.0,2.0,8,420.0,6.0,0.5,8,decelerating,16.45,16.43,8.43,10.24,0.0,418.32,3.347
VCV_Normal_C050_R002_VT06_RR008_PEEP08_IE033_SQR,Normal,2026-05-07T05:39:43.687697+00:00,True,,50.0,2.0,8,420.0,6.0,0.33,8,square,16.85,16.4,8.4,9.44,0.0,417.54,3.34
VCV_Normal_C050_R002_VT06_RR008_PEEP08_IE033_DEC,Normal,2026-05-07T05:39:43.688188+00:00,True,,50.0,2.0,8,420.0,6.0,0.33,8,decelerating,16.47,16.44,8.44,9.78,0.0,417.54,3.34
VCV_Normal_C050_R002_VT06_RR008_PEEP16_IE100_SQR,Normal,2026-05-07T05:39:43.688647+00:00,True,,50.0,2.0,8,420.0,6.0,1.0,16,square,24.62,24.4,8.4,18.46,0.0,418.88,3.351
VCV_Normal_C050_R002_VT06_RR008_PEEP16_IE100_DEC,Normal,2026-05-07T05:39:43.689109+00:00,True,,50.0,2.0,8,420.0,6.0,1.0,16,decelerating,24.43,24.42,8.42,19.14,0.0,418.88,3.351
VCV_Normal_C050_R002_VT06_RR008_PEEP16_IE050_SQR,Normal,2026-05-07T05:39:43.689577+00:00,True,,50.0,2.0,8,420.0,6.0,0.5,16,square,24.74,24.4,8.4,17.78,0.0,418.32,3.347
VCV_Normal_C050_R002_VT06_RR008_PEEP16_IE050_DEC,Normal,2026-05-07T05:39:43.690039+00:00,True,,50.0,2.0,8,420.0,6.0,0.5,16,decelerating,24.45,24.43,8.43,18.24,0.0,418.32,3.347
VCV_Normal_C050_R002_VT06_RR008_PEEP16_IE033_SQR,Normal,2026-05-07T05:39:43.690512+00:00,True,,50.0,2.0,8,420.0,6.0,0.33,16,square,24.85,24.4,8.4,17.44,0.0,417.54,3.34
VCV_Normal_C050_R002_VT06_RR008_PEEP16_IE033_DEC,Normal,2026-05-07T05:39:43.691014+00:00,True,,50.0,2.0,8,420.0,6.0,0.33,16,decelerating,24.47,24.44,8.44,17.78,0.0,417.54,3.34
VCV_Normal_C050_R002_VT06_RR008_PEEP20_IE100_SQR,Normal,2026-05-07T05:39:43.691482+00:00,True,,50.0,2.0,8,420.0,6.0,1.0,20,square,28.62,28.4,8.4,22.46,0.0,418.88,3.351
