scenario_id,condition,generated_at,is_valid,invalid_reason,compliance_mL_per_cmH2O,resistance_cmH2O_L_s,respiratory_rate,insp_pressure_cmH2O,ie_ratio,peep_cmH2O,rise_time_s,ppeak_cmH2O,delivered_vt_mL,driving_p_cmH2O,mean_paw_cmH2O,auto_peep_cmH2O,fill_fraction,minute_vent_L,time_to_peak_flow_s
PCV_Normal_C050_R002_P005_RR008_PEEP16_IE050_RT040,Normal,2026-05-07T05:40:48.071091+00:00,True,,50.0,2.0,8,5,0.5,16,0.4,21.0,250.0,5.0,17.53,0.0,1.0,2.0,0.39
PCV_Normal_C050_R002_P005_RR008_PEEP16_IE033_RT000,Normal,2026-05-07T05:40:48.554078+00:00,True,,50.0,2.0,8,5,0.33,16,0.0,21.0,250.0,5.0,17.25,0.0,1.0,2.0,0.0
PCV_Normal_C050_R002_P005_RR008_PEEP16_IE033_RT020,Normal,2026-05-07T05:40:49.021860+00:00,True,,50.0,2.0,8,5,0.33,16,0.2,21.0,250.0,5.0,17.18,0.0,1.0,2.0,0.19
PCV_Normal_C050_R002_P005_RR008_PEEP16_IE033_RT040,Normal,2026-05-07T05:40:49.492524+00:00,True,,50.0,2.0,8,5,0.33,16,0.4,21.0,250.0,5.0,17.11,0.0,1.0,2.0,0.39
PCV_Normal_C050_R002_P005_RR008_PEEP20_IE100_RT000,Normal,2026-05-07T05:40:49.979996+00:00,True,,50.0,2.0,8,5,1.0,20,0.0,25.0,250.0,5.0,22.5,0.0,1.0,2.0,0.0
PCV_Normal_C050_R002_P005_RR008_PEEP20_IE100_RT020,Normal,2026-05-07T05:40:50.478713+00:00,True,,50.0,2.0,8,5,1.0,20,0.2,25.0,250.0,5.0,22.43,0.0,1.0,2.0,0.19
PCV_Normal_C050_R002_P005_RR008_PEEP20_IE100_RT040,Normal,2026-05-07T05:40:50.949705+00:00,True,,50.0,2.0,8,5,1.0,20,0.4,25.0,250.0,5.0,22.36,0.0,1.0,2.0,0.39
PCV_Normal_C050_R002_P005_RR008_PEEP20_IE050_RT000,Normal,2026-05-07T05:40:51.435755+00:00,True,,50.0,2.0,8,5,0.5,20,0.0,25.0,250.0,5.0,21.67,0.0,1.0,2.0,0.0
PCV_Normal_C050_R002_P005_RR008_PEEP20_IE050_RT020,Normal,2026-05-07T05:40:51.906000+00:00,True,,50.0,2.0,8,5,0.5,20,0.2,25.0,250.0,5.0,21.6,0.0,1.0,2.0,0.19
PCV_Normal_C050_R002_P005_RR008_PEEP20_IE050_RT040,Normal,2026-05-07T05:40:52.373659+00:00,True,,50.0,2.0,8,5,0.5,20,0.4,25.0,250.0,5.0,21.53,0.0,1.0,2.0,0.39
PCV_Normal_C050_R002_P005_RR008_PEEP20_IE033_RT000,Normal,2026-05-07T05:40:52.859666+00:00,True,,50.0,2.0,8,5,0.33,20,0.0,25.0,250.0,5.0,21.25,0.0,1.0,2.0,0.0
PCV_Normal_C050_R002_P005_RR008_PEEP20_IE033_RT020,Normal,2026-05-07T05:40:53.329903+00:00,True,,50.0,2.0,8,5,0.33,20,0.2,25.0,250.0,5.0,21.18,0.0,1.0,2.0,0.19
PCV_Normal_C050_R002_P005_RR008_PEEP20_IE033_RT040,Normal,2026-05-07T05:40:53.794231+00:00,True,,50.0,2.0,8,5,0.33,20,0.4,25.0,250.0,5.0,21.11,0.0,1.0,2.0,0.39
PCV_Normal_C050_R002_P005_RR016_PEEP00_IE100_RT000,Normal,2026-05-07T05:40:54.048270+00:00,False,Delivered VT 102 mL below minimum (210 mL = 3 mL/kg IBW),50.0,2.0,16,5,1.0,0,0.0,5.0,101.64,5.0,2.51,0.0,1.0,1.626,0.0
PCV_Normal_C050_R002_P005_RR016_PEEP00_IE100_RT020,Normal,2026-05-07T05:40:54.289213+00:00,True,,50.0,2.0,16,5,1.0,0,0.2,5.0,211.68,5.0,2.37,0.0,1.0,3.387,0.19
PCV_Normal_C050_R002_P005_RR016_PEEP00_IE100_RT040,Normal,2026-05-07T05:40:54.530486+00:00,True,,50.0,2.0,16,5,1.0,0,0.4,5.0,230.84,5.0,2.23,0.0,1.0,3.693,0.39
PCV_Normal_C050_R002_P005_RR016_PEEP00_IE050_RT000,Normal,2026-05-07T05:40:54.787036+00:00,True,,50.0,2.0,16,5,0.5,0,0.0,5.0,250.0,5.0,1.67,0.0,1.0,4.0,0.0
PCV_Normal_C050_R002_P005_RR016_PEEP00_IE050_RT020,Normal,2026-05-07T05:40:55.028346+00:00,True,,50.0,2.0,16,5,0.5,0,0.2,5.0,250.0,5.0,1.53,0.0,1.0,4.0,0.19
PCV_Normal_C050_R002_P005_RR016_PEEP00_IE050_RT040,Normal,2026-05-07T05:40:55.269548+00:00,True,,50.0,2.0,16,5,0.5,0,0.4,5.0,249.99,5.0,1.39,0.0,0.9998,4.0,0.39
PCV_Normal_C050_R002_P005_RR016_PEEP00_IE033_RT000,Normal,2026-05-07T05:40:55.525560+00:00,True,,50.0,2.0,16,5,0.33,0,0.0,5.0,249.98,5.0,1.25,0.0,0.9999,4.0,0.0
PCV_Normal_C050_R002_P005_RR016_PEEP00_IE033_RT020,Normal,2026-05-07T05:40:55.767892+00:00,True,,50.0,2.0,16,5,0.33,0,0.2,5.0,249.93,5.0,1.11,0.0,0.9993,3.999,0.19
PCV_Normal_C050_R002_P005_RR016_PEEP00_IE033_RT040,Normal,2026-05-07T05:40:56.008995+00:00,True,,50.0,2.0,16,5,0.33,0,0.4,5.0,249.69,5.0,0.98,0.0,0.995,3.995,0.39
PCV_Normal_C050_R002_P005_RR016_PEEP08_IE100_RT000,Normal,2026-05-07T05:40:56.264724+00:00,False,Delivered VT 102 mL below minimum (210 mL = 3 mL/kg IBW),50.0,2.0,16,5,1.0,8,0.0,13.0,101.64,5.0,10.51,0.0,1.0,1.626,0.0
PCV_Normal_C050_R002_P005_RR016_PEEP08_IE100_RT020,Normal,2026-05-07T05:40:56.505782+00:00,True,,50.0,2.0,16,5,1.0,8,0.2,13.0,211.68,5.0,10.37,0.0,1.0,3.387,0.19
PCV_Normal_C050_R002_P005_RR016_PEEP08_IE100_RT040,Normal,2026-05-07T05:40:56.748049+00:00,True,,50.0,2.0,16,5,1.0,8,0.4,13.0,230.84,5.0,10.23,0.0,1.0,3.693,0.39
PCV_Normal_C050_R002_P005_RR016_PEEP08_IE050_RT000,Normal,2026-05-07T05:40:57.003957+00:00,True,,50.0,2.0,16,5,0.5,8,0.0,13.0,250.0,5.0,9.67,0.0,1.0,4.0,0.0
PCV_Normal_C050_R002_P005_RR016_PEEP08_IE050_RT020,Normal,2026-05-07T05:40:57.246664+00:00,True,,50.0,2.0,16,5,0.5,8,0.2,13.0,250.0,5.0,9.53,0.0,1.0,4.0,0.19
PCV_Normal_C050_R002_P005_RR016_PEEP08_IE050_RT040,Normal,2026-05-07T05:40:57.490016+00:00,True,,50.0,2.0,16,5,0.5,8,0.4,13.0,249.99,5.0,9.39,0.0,0.9998,4.0,0.39
PCV_Normal_C050_R002_P005_RR016_PEEP08_IE033_RT000,Normal,2026-05-07T05:40:57.751749+00:00,True,,50.0,2.0,16,5,0.33,8,0.0,13.0,249.98,5.0,9.25,0.0,0.9999,4.0,0.0
PCV_Normal_C050_R002_P005_RR016_PEEP08_IE033_RT020,Normal,2026-05-07T05:40:57.996558+00:00,True,,50.0,2.0,16,5,0.33,8,0.2,13.0,249.93,5.0,9.11,0.0,0.9993,3.999,0.19
PCV_Normal_C050_R002_P005_RR016_PEEP08_IE033_RT040,Normal,2026-05-07T05:40:58.239393+00:00,True,,50.0,2.0,16,5,0.33,8,0.4,13.0,249.69,5.0,8.98,0.0,0.995,3.995,0.39
PCV_Normal_C050_R002_P005_RR016_PEEP16_IE100_RT000,Normal,2026-05-07T05:40:58.496200+00:00,False,Delivered VT 102 mL below minimum (210 mL = 3 mL/kg IBW),50.0,2.0,16,5,1.0,16,0.0,21.0,101.64,5.0,18.51,0.0,1.0,1.626,0.0
PCV_Normal_C050_R002_P005_RR016_PEEP16_IE100_RT020,Normal,2026-05-07T05:40:58.739740+00:00,True,,50.0,2.0,16,5,1.0,16,0.2,21.0,211.68,5.0,18.37,0.0,1.0,3.387,0.19
PCV_Normal_C050_R002_P005_RR016_PEEP16_IE100_RT040,Normal,2026-05-07T05:40:58.981201+00:00,True,,50.0,2.0,16,5,1.0,16,0.4,21.0,230.84,5.0,18.23,0.0,1.0,3.693,0.39
PCV_Normal_C050_R002_P005_RR016_PEEP16_IE050_RT000,Normal,2026-05-07T05:40:59.240143+00:00,True,,50.0,2.0,16,5,0.5,16,0.0,21.0,250.0,5.0,17.67,0.0,1.0,4.0,0.0
PCV_Normal_C050_R002_P005_RR016_PEEP16_IE050_RT020,Normal,2026-05-07T05:40:59.481383+00:00,True,,50.0,2.0,16,5,0.5,16,0.2,21.0,250.0,5.0,17.53,0.0,1.0,4.0,0.19
PCV_Normal_C050_R002_P005_RR016_PEEP16_IE050_RT040,Normal,2026-05-07T05:40:59.722791+00:00,True,,50.0,2.0,16,5,0.5,16,0.4,21.0,249.99,5.0,17.39,0.0,0.9998,4.0,0.39
PCV_Normal_C050_R002_P005_RR016_PEEP16_IE033_RT000,Normal,2026-05-07T05:40:59.979628+00:00,True,,50.0,2.0,16,5,0.33,16,0.0,21.0,249.98,5.0,17.25,0.0,0.9999,4.0,0.0
PCV_Normal_C050_R002_P005_RR016_PEEP16_IE033_RT020,Normal,2026-05-07T05:41:00.238663+00:00,True,,50.0,2.0,16,5,0.33,16,0.2,21.0,249.93,5.0,17.11,0.0,0.9993,3.999,0.19
PCV_Normal_C050_R002_P005_RR016_PEEP16_IE033_RT040,Normal,2026-05-07T05:41:00.480950+00:00,True,,50.0,2.0,16,5,0.33,16,0.4,21.0,249.69,5.0,16.98,0.0,0.995,3.995,0.39
PCV_Normal_C050_R002_P005_RR016_PEEP20_IE100_RT000,Normal,2026-05-07T05:41:00.741432+00:00,False,Delivered VT 102 mL below minimum (210 mL = 3 mL/kg IBW),50.0,2.0,16,5,1.0,20,0.0,25.0,101.64,5.0,22.51,0.0,1.0,1.626,0.0
PCV_Normal_C050_R002_P005_RR016_PEEP20_IE100_RT020,Normal,2026-05-07T05:41:00.985932+00:00,True,,50.0,2.0,16,5,1.0,20,0.2,25.0,211.68,5.0,22.37,0.0,1.0,3.387,0.19
PCV_Normal_C050_R002_P005_RR016_PEEP20_IE100_RT040,Normal,2026-05-07T05:41:01.229024+00:00,True,,50.0,2.0,16,5,1.0,20,0.4,25.0,230.84,5.0,22.23,0.0,1.0,3.693,0.39
PCV_Normal_C050_R002_P005_RR016_PEEP20_IE050_RT000,Normal,2026-05-07T05:41:01.486133+00:00,True,,50.0,2.0,16,5,0.5,20,0.0,25.0,250.0,5.0,21.67,0.0,1.0,4.0,0.0
PCV_Normal_C050_R002_P005_RR016_PEEP20_IE050_RT020,Normal,2026-05-07T05:41:01.729890+00:00,True,,50.0,2.0,16,5,0.5,20,0.2,25.0,250.0,5.0,21.53,0.0,1.0,4.0,0.19
PCV_Normal_C050_R002_P005_RR016_PEEP20_IE050_RT040,Normal,2026-05-07T05:41:01.971609+00:00,True,,50.0,2.0,16,5,0.5,20,0.4,25.0,249.99,5.0,21.39,0.0,0.9998,4.0,0.39
PCV_Normal_C050_R002_P005_RR016_PEEP20_IE033_RT000,Normal,2026-05-07T05:41:02.228902+00:00,True,,50.0,2.0,16,5,0.33,20,0.0,25.0,249.98,5.0,21.25,0.0,0.9999,4.0,0.0
PCV_Normal_C050_R002_P005_RR016_PEEP20_IE033_RT020,Normal,2026-05-07T05:41:02.471954+00:00,True,,50.0,2.0,16,5,0.33,20,0.2,25.0,249.93,5.0,21.11,0.0,0.9993,3.999,0.19
PCV_Normal_C050_R002_P005_RR016_PEEP20_IE033_RT040,Normal,2026-05-07T05:41:02.713133+00:00,True,,50.0,2.0,16,5,0.33,20,0.4,25.0,249.69,5.0,20.98,0.0,0.995,3.995,0.39
PCV_Normal_C050_R002_P005_RR024_PEEP00_IE100_RT000,Normal,2026-05-07T05:41:02.894106+00:00,True,,50.0,2.0,24,5,1.0,0,0.0,5.0,250.0,5.0,2.5,0.0,1.0,6.0,0.0
PCV_Normal_C050_R002_P005_RR024_PEEP00_IE100_RT020,Normal,2026-05-07T05:41:03.060387+00:00,True,,50.0,2.0,24,5,1.0,0,0.2,5.0,250.0,5.0,2.29,0.0,1.0,6.0,0.19
PCV_Normal_C050_R002_P005_RR024_PEEP00_IE100_RT040,Normal,2026-05-07T05:41:03.226831+00:00,True,,50.0,2.0,24,5,1.0,0,0.4,5.0,249.99,5.0,2.09,0.0,0.9998,6.0,0.39
PCV_Normal_C050_R002_P005_RR024_PEEP00_IE050_RT000,Normal,2026-05-07T05:41:03.407357+00:00,True,,50.0,2.0,24,5,0.5,0,0.0,5.0,249.94,5.0,1.68,0.0,0.9998,5.999,0.0
PCV_Normal_C050_R002_P005_RR024_PEEP00_IE050_RT020,Normal,2026-05-07T05:41:03.574072+00:00,True,,50.0,2.0,24,5,0.5,0,0.2,5.0,249.8,5.0,1.47,0.0,0.9982,5.995,0.19
PCV_Normal_C050_R002_P005_RR024_PEEP00_IE050_RT040,Normal,2026-05-07T05:41:03.741065+00:00,True,,50.0,2.0,24,5,0.5,0,0.4,5.0,249.17,5.0,1.27,0.0,0.9869,5.98,0.39
PCV_Normal_C050_R002_P005_RR024_PEEP00_IE033_RT000,Normal,2026-05-07T05:41:03.922695+00:00,True,,50.0,2.0,24,5,0.33,0,0.0,5.0,249.49,5.0,1.26,0.0,0.998,5.988,0.0
PCV_Normal_C050_R002_P005_RR024_PEEP00_IE033_RT020,Normal,2026-05-07T05:41:04.089231+00:00,True,,50.0,2.0,24,5,0.33,0,0.2,5.0,248.38,5.0,1.05,0.0,0.985,5.961,0.19
PCV_Normal_C050_R002_P005_RR024_PEEP00_IE033_RT040,Normal,2026-05-07T05:41:04.254711+00:00,True,,50.0,2.0,24,5,0.33,0,0.4,5.0,246.53,5.0,0.94,0.0,0.955,5.917,0.3
PCV_Normal_C050_R002_P005_RR024_PEEP08_IE100_RT000,Normal,2026-05-07T05:41:04.434722+00:00,True,,50.0,2.0,24,5,1.0,8,0.0,13.0,250.0,5.0,10.5,0.0,1.0,6.0,0.0
PCV_Normal_C050_R002_P005_RR024_PEEP08_IE100_RT020,Normal,2026-05-07T05:41:04.602663+00:00,True,,50.0,2.0,24,5,1.0,8,0.2,13.0,250.0,5.0,10.29,0.0,1.0,6.0,0.19
PCV_Normal_C050_R002_P005_RR024_PEEP08_IE100_RT040,Normal,2026-05-07T05:41:04.769849+00:00,True,,50.0,2.0,24,5,1.0,8,0.4,13.0,249.99,5.0,10.09,0.0,0.9998,6.0,0.39
PCV_Normal_C050_R002_P005_RR024_PEEP08_IE050_RT000,Normal,2026-05-07T05:41:04.949907+00:00,True,,50.0,2.0,24,5,0.5,8,0.0,13.0,249.94,5.0,9.68,0.0,0.9998,5.999,0.0
PCV_Normal_C050_R002_P005_RR024_PEEP08_IE050_RT020,Normal,2026-05-07T05:41:05.117626+00:00,True,,50.0,2.0,24,5,0.5,8,0.2,13.0,249.8,5.0,9.47,0.0,0.9982,5.995,0.19
PCV_Normal_C050_R002_P005_RR024_PEEP08_IE050_RT040,Normal,2026-05-07T05:41:05.284635+00:00,True,,50.0,2.0,24,5,0.5,8,0.4,13.0,249.17,5.0,9.27,0.0,0.9869,5.98,0.39
PCV_Normal_C050_R002_P005_RR024_PEEP08_IE033_RT000,Normal,2026-05-07T05:41:05.466017+00:00,True,,50.0,2.0,24,5,0.33,8,0.0,13.0,249.49,5.0,9.26,0.0,0.998,5.988,0.0
PCV_Normal_C050_R002_P005_RR024_PEEP08_IE033_RT020,Normal,2026-05-07T05:41:05.637309+00:00,True,,50.0,2.0,24,5,0.33,8,0.2,13.0,248.38,5.0,9.05,0.0,0.985,5.961,0.19
PCV_Normal_C050_R002_P005_RR024_PEEP08_IE033_RT040,Normal,2026-05-07T05:41:05.803619+00:00,True,,50.0,2.0,24,5,0.33,8,0.4,13.0,246.53,5.0,8.94,0.0,0.955,5.917,0.3
PCV_Normal_C050_R002_P005_RR024_PEEP16_IE100_RT000,Normal,2026-05-07T05:41:05.985169+00:00,True,,50.0,2.0,24,5,1.0,16,0.0,21.0,250.0,5.0,18.5,0.0,1.0,6.0,0.0
PCV_Normal_C050_R002_P005_RR024_PEEP16_IE100_RT020,Normal,2026-05-07T05:41:06.152995+00:00,True,,50.0,2.0,24,5,1.0,16,0.2,21.0,250.0,5.0,18.29,0.0,1.0,6.0,0.19
PCV_Normal_C050_R002_P005_RR024_PEEP16_IE100_RT040,Normal,2026-05-07T05:41:06.319460+00:00,True,,50.0,2.0,24,5,1.0,16,0.4,21.0,249.99,5.0,18.09,0.0,0.9998,6.0,0.39
PCV_Normal_C050_R002_P005_RR024_PEEP16_IE050_RT000,Normal,2026-05-07T05:41:06.500401+00:00,True,,50.0,2.0,24,5,0.5,16,0.0,21.0,249.94,5.0,17.68,0.0,0.9998,5.999,0.0
PCV_Normal_C050_R002_P005_RR024_PEEP16_IE050_RT020,Normal,2026-05-07T05:41:06.667460+00:00,True,,50.0,2.0,24,5,0.5,16,0.2,21.0,249.8,5.0,17.47,0.0,0.9982,5.995,0.19
PCV_Normal_C050_R002_P005_RR024_PEEP16_IE050_RT040,Normal,2026-05-07T05:41:06.835336+00:00,True,,50.0,2.0,24,5,0.5,16,0.4,21.0,249.17,5.0,17.27,0.0,0.9869,5.98,0.39
PCV_Normal_C050_R002_P005_RR024_PEEP16_IE033_RT000,Normal,2026-05-07T05:41:07.016121+00:00,True,,50.0,2.0,24,5,0.33,16,0.0,21.0,249.49,5.0,17.26,0.0,0.998,5.988,0.0
PCV_Normal_C050_R002_P005_RR024_PEEP16_IE033_RT020,Normal,2026-05-07T05:41:07.182183+00:00,True,,50.0,2.0,24,5,0.33,16,0.2,21.0,248.38,5.0,17.05,0.0,0.985,5.961,0.19
PCV_Normal_C050_R002_P005_RR024_PEEP16_IE033_RT040,Normal,2026-05-07T05:41:07.348693+00:00,True,,50.0,2.0,24,5,0.33,16,0.4,21.0,246.53,5.0,16.94,0.0,0.955,5.917,0.3
PCV_Normal_C050_R002_P005_RR024_PEEP20_IE100_RT000,Normal,2026-05-07T05:41:07.530570+00:00,True,,50.0,2.0,24,5,1.0,20,0.0,25.0,250.0,5.0,22.5,0.0,1.0,6.0,0.0
PCV_Normal_C050_R002_P005_RR024_PEEP20_IE100_RT020,Normal,2026-05-07T05:41:07.697146+00:00,True,,50.0,2.0,24,5,1.0,20,0.2,25.0,250.0,5.0,22.29,0.0,1.0,6.0,0.19
PCV_Normal_C050_R002_P005_RR024_PEEP20_IE100_RT040,Normal,2026-05-07T05:41:07.863074+00:00,True,,50.0,2.0,24,5,1.0,20,0.4,25.0,249.99,5.0,22.09,0.0,0.9998,6.0,0.39
PCV_Normal_C050_R002_P005_RR024_PEEP20_IE050_RT000,Normal,2026-05-07T05:41:08.044235+00:00,True,,50.0,2.0,24,5,0.5,20,0.0,25.0,249.94,5.0,21.68,0.0,0.9998,5.999,0.0
PCV_Normal_C050_R002_P005_RR024_PEEP20_IE050_RT020,Normal,2026-05-07T05:41:08.212096+00:00,True,,50.0,2.0,24,5,0.5,20,0.2,25.0,249.8,5.0,21.47,0.0,0.9982,5.995,0.19
PCV_Normal_C050_R002_P005_RR024_PEEP20_IE050_RT040,Normal,2026-05-07T05:41:08.379195+00:00,True,,50.0,2.0,24,5,0.5,20,0.4,25.0,249.17,5.0,21.27,0.0,0.9869,5.98,0.39
PCV_Normal_C050_R002_P005_RR024_PEEP20_IE033_RT000,Normal,2026-05-07T05:41:08.559917+00:00,True,,50.0,2.0,24,5,0.33,20,0.0,25.0,249.49,5.0,21.26,0.0,0.998,5.988,0.0
PCV_Normal_C050_R002_P005_RR024_PEEP20_IE033_RT020,Normal,2026-05-07T05:41:08.727259+00:00,True,,50.0,2.0,24,5,0.33,20,0.2,25.0,248.38,5.0,21.05,0.0,0.985,5.961,0.19
PCV_Normal_C050_R002_P005_RR024_PEEP20_IE033_RT040,Normal,2026-05-07T05:41:08.893994+00:00,True,,50.0,2.0,24,5,0.33,20,0.4,25.0,246.53,5.0,20.94,0.0,0.955,5.917,0.3
PCV_Normal_C050_R002_P005_RR030_PEEP00_IE100_RT000,Normal,2026-05-07T05:41:09.043136+00:00,True,,50.0,2.0,30,5,1.0,0,0.0,5.0,249.98,5.0,2.5,0.0,1.0,7.499,0.0
PCV_Normal_C050_R002_P005_RR030_PEEP00_IE100_RT020,Normal,2026-05-07T05:41:09.179322+00:00,True,,50.0,2.0,30,5,1.0,0,0.2,5.0,249.95,5.0,2.24,0.0,0.9997,7.498,0.19
PCV_Normal_C050_R002_P005_RR030_PEEP00_IE100_RT040,Normal,2026-05-07T05:41:09.316344+00:00,True,,50.0,2.0,30,5,1.0,0,0.4,5.0,249.84,5.0,1.99,0.0,0.9975,7.495,0.39
PCV_Normal_C050_R002_P005_RR030_PEEP00_IE050_RT000,Normal,2026-05-07T05:41:09.465759+00:00,True,,50.0,2.0,30,5,0.5,0,0.0,5.0,249.66,5.0,1.68,0.0,0.9987,7.49,0.0
PCV_Normal_C050_R002_P005_RR030_PEEP00_IE050_RT020,Normal,2026-05-07T05:41:09.603822+00:00,True,,50.0,2.0,30,5,0.5,0,0.2,5.0,248.91,5.0,1.41,0.0,0.9906,7.467,0.19
PCV_Normal_C050_R002_P005_RR030_PEEP00_IE050_RT040,Normal,2026-05-07T05:41:09.740514+00:00,True,,50.0,2.0,30,5,0.5,0,0.4,5.0,247.24,5.0,1.25,0.0,0.9643,7.417,0.32
PCV_Normal_C050_R002_P005_RR030_PEEP00_IE033_RT000,Normal,2026-05-07T05:41:09.891299+00:00,True,,50.0,2.0,30,5,0.33,0,0.0,5.0,248.14,5.0,1.25,0.0,0.993,7.444,0.0
PCV_Normal_C050_R002_P005_RR030_PEEP00_IE033_RT020,Normal,2026-05-07T05:41:10.028645+00:00,True,,50.0,2.0,30,5,0.33,0,0.2,5.0,244.05,5.0,0.99,0.0,0.9483,7.322,0.19
